TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,SEASON
DAL,2021-04-07,@ATL,"DRUMMOND, ANDRE",36,12,16,5,11,1,4,5,0,6,12,0.5,0,0,NA,0,0,NA,4,ATL,0,38,NA,106,116,27.65753425,L,20-21
DAL,2021-05-10,UTA,"DRUMMOND, ANDRE",27,2,16,6,10,1,2,3,3,1,11,0.09090909091,0,0,NA,0,2,0,3,UTA,0,24,NA,139,77,27.74794521,W,20-21
DEN,2021-02-10,MEM,"JOKIC, NIKOLA",40,23,16,4,12,6,1,2,3,7,15,0.4666666667,2,3,0.6666666667,7,9,0.7777777778,5,MEM,0,48,NA,130,132,25.97540984,L,20-21
DEN,2021-03-16,@MIL,"JOKIC, NIKOLA",30,26,16,4,12,9,1,0,2,8,14,0.5714285714,3,5,0.6,7,9,0.7777777778,4,MIL,0,52,NA,125,114,26.06849315,W,20-21
DET,2021-02-24,CHI,"POWELL, DWIGHT",36,6,16,2,14,5,1,1,1,2,4,0.5,0,1,0,2,2,1,1,CHI,0,29,NA,99,91,29.6,W,20-21
DET,2021-03-16,TOR,"WOOD, CHRISTIAN",34,25,16,1,15,0,1,2,4,10,15,0.6666666667,4,8,0.5,1,2,0.5,3,TOR,0,44,NA,101,109,25.46575342,L,20-21
DET,2021-03-18,DEN,"WOOD, CHRISTIAN",33,31,16,4,12,1,2,0,3,13,22,0.5909090909,2,7,0.2857142857,3,5,0.6,3,DEN,0,50,NA,111,109,25.47123288,W,20-21
DET,2021-05-01,ORL,"WOOD, CHRISTIAN",33,19,16,7,9,1,0,1,1,8,18,0.4444444444,2,3,0.6666666667,1,2,0.5,1,ORL,0,37,NA,96,113,25.59178082,L,20-21
GSW,2020-12-22,@MIN,"TURNER, MYLES",34,19,16,3,13,1,1,0,2,8,16,0.5,3,8,0.375,0,0,NA,4,MIN,0,37,NA,109,131,24.74794521,L,20-21
GSW,2020-12-29,BOS,"TURNER, MYLES",34,6,16,3,13,4,1,3,1,3,6,0.5,0,3,0,0,0,NA,3,BOS,0,30,NA,107,130,24.76712329,L,20-21
GSW,2021-01-17,@CHA,"JORDAN, DEANDRE",25,1,16,7,9,6,1,1,0,0,1,0,0,0,NA,1,2,0.5,1,CHA,0,25,NA,114,97,32.49315068,W,20-21
