TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,SEASON
ATL,2021-11-27,NYK,"ZELLER, CODY",22,8,8,5,3,3,1,2,1,4,7,0.5714285714,0,0,NA,0,0,NA,2,NYK,0,22,NA,120,101,29.14520548,W,REG,21-22
ATL,2021-11-27,NYK,"BRADLEY, TONY",10,6,5,1,4,0,0,0,0,3,3,1,0,0,NA,0,0,NA,0,NYK,0,11,NA,120,101,23.88493151,W,REG,21-22
ATL,2021-11-27,NYK,"CALDWELL-POPE, KENTAVIOUS",12,5,4,1,3,3,0,0,2,2,4,0.5,1,3,0.3333333333,0,0,NA,1,NYK,0,12,NA,120,101,28.77260274,W,REG,21-22
ATL,2021-11-27,NYK,"SMITH, ISH",11,4,4,1,3,1,0,0,0,2,3,0.6666666667,0,0,NA,0,0,NA,1,NYK,0,9,NA,120,101,33.39726027,W,REG,21-22
ATL,2021-11-27,NYK,"FORBES, BRYN",6,2,0,0,0,0,0,0,0,1,4,0.25,0,2,0,0,0,NA,0,NYK,0,2,NA,120,101,28.34794521,W,REG,21-22
ATL,2021-11-27,NYK,"HARDAWAY, TIM",29,0,6,0,6,0,2,0,2,0,7,0,0,5,0,0,0,NA,3,NYK,0,8,NA,120,101,23.8,W,REG,21-22
ATL,2021-12-01,@IND,"YOUNG, TRAE",32,29,4,0,4,9,1,0,1,8,11,0.7272727273,3,4,0.75,10,10,1,3,IND,0,43,NA,127,101,23.2,W,REG,21-22
ATL,2021-12-01,@IND,"DAVIS, ANTHONY",32,28,5,0,5,1,0,3,2,11,17,0.6470588235,3,6,0.5,3,4,0.75,2,IND,0,37,NA,127,101,28.7260274,W,REG,21-22
ATL,2021-12-01,@IND,"POWELL, NORMAN",22,15,2,0,2,1,2,0,1,5,8,0.625,2,3,0.6666666667,3,3,1,3,IND,0,20,NA,127,101,28.52054795,W,REG,21-22
ATL,2021-12-01,@IND,"GEORGE, PAUL",32,12,6,1,5,2,3,1,3,4,9,0.4444444444,2,5,0.4,2,2,1,2,IND,0,24,NA,127,101,31.58356164,W,REG,21-22
ATL,2021-12-01,@IND,"ZELLER, CODY",20,12,2,0,2,4,1,1,2,5,7,0.7142857143,0,0,NA,2,4,0.5,2,IND,0,20,NA,127,101,29.15616438,W,REG,21-22
ATL,2021-12-01,@IND,"HARDAWAY, TIM",31,10,3,0,3,1,1,0,1,3,7,0.4285714286,1,5,0.2,3,3,1,0,IND,0,15,NA,127,101,23.8109589,W,REG,21-22
ATL,2021-12-01,@IND,"BRADLEY, TONY",10,8,4,1,3,0,0,2,0,3,3,1,0,0,NA,2,2,1,3,IND,0,14,NA,127,101,23.89589041,W,REG,21-22
ATL,2021-12-01,@IND,"GRANT, JERAMI",31,7,4,1,3,5,1,1,1,2,4,0.5,1,3,0.3333333333,2,3,0.6666666667,0,IND,0,18,NA,127,101,27.72328767,W,REG,21-22
ATL,2021-12-01,@IND,"CALDWELL-POPE, KENTAVIOUS",13,4,3,0,3,0,0,0,0,2,3,0.6666666667,0,1,0,0,0,NA,1,IND,0,7,NA,127,101,28.78356164,W,REG,21-22
ATL,2021-12-01,@IND,"SMITH, ISH",10,2,3,0,3,3,0,1,1,1,2,0.5,0,0,NA,0,0,NA,0,IND,0,9,NA,127,101,33.40821918,W,REG,21-22
ATL,2021-12-01,@IND,"FORBES, BRYN",7,0,0,0,0,2,0,0,2,0,1,0,0,0,NA,0,0,NA,1,IND,0,2,NA,127,101,28.35890411,W,REG,21-22
ATL,2021-12-03,PHI,"POWELL, NORMAN",30,19,2,0,2,1,1,0,4,8,12,0.6666666667,2,3,0.6666666667,1,1,1,3,PHI,0,23,NA,104,98,28.5260274,W,REG,21-22
ATL,2021-12-03,PHI,"ANTHONY, CARMELO",30,17,3,0,3,0,2,1,1,7,10,0.7,1,2,0.5,2,2,1,3,PHI,0,23,NA,104,98,37.51506849,W,REG,21-22
ATL,2021-12-03,PHI,"GRANT, JERAMI",23,13,6,2,4,1,0,2,2,4,12,0.3333333333,1,5,0.2,4,4,1,3,PHI,0,22,NA,104,98,27.72876712,W,REG,21-22
ATL,2021-12-03,PHI,"GEORGE, PAUL",31,11,7,0,7,4,0,1,2,5,10,0.5,0,3,0,1,1,1,4,PHI,0,23,NA,104,98,31.5890411,W,REG,21-22
ATL,2021-12-03,PHI,"DAVIS, ANTHONY",33,11,10,2,8,4,0,1,1,4,6,0.6666666667,0,0,NA,3,4,0.75,4,PHI,0,26,NA,104,98,28.73150685,W,REG,21-22
ATL,2021-12-03,PHI,"HARDAWAY, TIM",20,11,3,0,3,0,0,0,0,4,8,0.5,3,5,0.6,0,0,NA,1,PHI,0,14,NA,104,98,23.81643836,W,REG,21-22
ATL,2021-12-03,PHI,"YOUNG, TRAE",33,9,5,1,4,12,1,0,3,2,9,0.2222222222,1,4,0.25,4,6,0.6666666667,2,PHI,0,27,NA,104,98,23.20547945,W,REG,21-22
ATL,2021-12-03,PHI,"FORBES, BRYN",6,6,1,0,1,0,0,0,0,2,3,0.6666666667,1,2,0.5,1,1,1,1,PHI,0,7,NA,104,98,28.36438356,W,REG,21-22
ATL,2021-12-03,PHI,"ZELLER, CODY",13,4,3,1,2,1,1,1,3,2,4,0.5,0,0,NA,0,0,NA,2,PHI,0,10,NA,104,98,29.16164384,W,REG,21-22
ATL,2021-12-03,PHI,"SMITH, ISH",11,3,0,0,0,4,2,0,2,1,3,0.3333333333,0,0,NA,1,2,0.5,1,PHI,0,9,NA,104,98,33.41369863,W,REG,21-22
ATL,2021-12-03,PHI,"CALDWELL-POPE, KENTAVIOUS",10,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,NA,0,PHI,0,1,NA,104,98,28.7890411,W,REG,21-22
ATL,2021-12-05,CHA,"YOUNG, TRAE",37,32,2,0,2,11,1,0,0,12,17,0.7058823529,4,8,0.5,4,4,1,3,CHA,0,46,NA,146,106,23.2109589,W,REG,21-22
ATL,2021-12-05,CHA,"ANTHONY, CARMELO",30,23,4,0,4,1,0,2,1,9,15,0.6,4,6,0.6666666667,1,2,0.5,3,CHA,0,30,NA,146,106,37.52054795,W,REG,21-22
ATL,2021-12-05,CHA,"DAVIS, ANTHONY",33,21,9,2,7,1,3,1,2,7,11,0.6363636364,1,4,0.25,6,8,0.75,3,CHA,0,35,NA,146,106,28.7369863,W,REG,21-22
ATL,2021-12-05,CHA,"GRANT, JERAMI",19,12,7,2,5,3,0,1,2,2,8,0.25,1,5,0.2,7,8,0.875,3,CHA,0,23,NA,146,106,27.73424658,W,REG,21-22
ATL,2021-12-05,CHA,"POWELL, NORMAN",31,11,3,0,3,0,1,0,3,5,11,0.4545454545,1,2,0.5,0,0,NA,1,CHA,0,15,NA,146,106,28.53150685,W,REG,21-22
ATL,2021-12-05,CHA,"HARDAWAY, TIM",19,11,4,0,4,0,1,0,0,4,7,0.5714285714,2,4,0.5,1,1,1,1,CHA,0,16,NA,146,106,23.82191781,W,REG,21-22
ATL,2021-12-05,CHA,"FORBES, BRYN",7,11,0,0,0,1,0,0,1,4,4,1,3,3,1,0,0,NA,0,CHA,0,12,NA,146,106,28.36986301,W,REG,21-22
ATL,2021-12-05,CHA,"GEORGE, PAUL",31,10,11,2,9,11,3,0,3,5,8,0.625,0,0,NA,0,0,NA,4,CHA,1,35,NA,146,106,31.59452055,W,REG,21-22
ATL,2021-12-05,CHA,"ZELLER, CODY",12,6,4,0,4,1,0,0,0,2,3,0.6666666667,0,0,NA,2,4,0.5,1,CHA,0,11,NA,146,106,29.16712329,W,REG,21-22
ATL,2021-12-05,CHA,"CALDWELL-POPE, KENTAVIOUS",11,6,1,0,1,1,0,0,0,2,2,1,1,1,1,1,3,0.3333333333,2,CHA,0,8,NA,146,106,28.79452055,W,REG,21-22
ATL,2021-12-05,CHA,"SMITH, ISH",10,3,0,0,0,1,0,0,0,1,1,1,0,0,NA,1,4,0.25,1,CHA,0,4,NA,146,106,33.41917808,W,REG,21-22
ATL,2021-12-06,@MIN,"GEORGE, PAUL",30,21,4,0,4,2,1,0,5,8,14,0.5714285714,5,10,0.5,0,0,NA,3,MIN,0,28,NA,125,103,31.59726027,W,REG,21-22
ATL,2021-12-06,@MIN,"ANTHONY, CARMELO",31,18,6,0,6,2,2,1,2,7,15,0.4666666667,2,5,0.4,2,2,1,3,MIN,0,29,NA,125,103,37.52328767,W,REG,21-22
ATL,2021-12-06,@MIN,"DAVIS, ANTHONY",31,18,14,3,11,8,3,5,1,7,14,0.5,4,7,0.5714285714,0,2,0,2,MIN,0,48,NA,125,103,28.73972603,W,REG,21-22
ATL,2021-12-06,@MIN,"YOUNG, TRAE",36,15,3,0,3,10,0,0,2,5,16,0.3125,1,3,0.3333333333,4,4,1,0,MIN,0,28,NA,125,103,23.21369863,W,REG,21-22
ATL,2021-12-06,@MIN,"GRANT, JERAMI",23,15,5,0,5,4,0,1,0,5,7,0.7142857143,1,1,1,4,4,1,0,MIN,0,25,NA,125,103,27.7369863,W,REG,21-22
ATL,2021-12-06,@MIN,"POWELL, NORMAN",30,12,0,0,0,0,1,0,1,4,8,0.5,1,4,0.25,3,3,1,2,MIN,0,13,NA,125,103,28.53424658,W,REG,21-22
ATL,2021-12-06,@MIN,"HARDAWAY, TIM",20,10,3,0,3,2,0,0,0,4,10,0.4,1,6,0.1666666667,1,2,0.5,0,MIN,0,15,NA,125,103,23.82465753,W,REG,21-22
ATL,2021-12-06,@MIN,"SMITH, ISH",11,6,3,0,3,4,2,0,0,3,3,1,0,0,NA,0,0,NA,1,MIN,0,15,NA,125,103,33.42191781,W,REG,21-22
ATL,2021-12-06,@MIN,"CALDWELL-POPE, KENTAVIOUS",10,6,3,0,3,0,1,0,0,3,4,0.75,0,1,0,0,0,NA,2,MIN,0,10,NA,125,103,28.79726027,W,REG,21-22
ATL,2021-12-06,@MIN,"ZELLER, CODY",12,4,1,0,1,4,1,3,0,2,3,0.6666666667,0,0,NA,0,0,NA,1,MIN,0,13,NA,125,103,29.16986301,W,REG,21-22
ATL,2021-12-06,@MIN,"FORBES, BRYN",6,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,NA,0,MIN,0,1,NA,125,103,28.37260274,W,REG,21-22
ATL,2021-12-10,BKN,"YOUNG, TRAE",34,37,5,0,5,6,2,0,6,14,23,0.6086956522,5,12,0.4166666667,4,4,1,0,BKN,0,50,NA,117,99,23.224657530000002,W,REG,21-22
ATL,2021-12-10,BKN,"POWELL, NORMAN",30,13,2,0,2,3,2,1,1,5,7,0.7142857143,3,4,0.75,0,0,NA,4,BKN,0,21,NA,117,99,28.54520548,W,REG,21-22
ATL,2021-12-10,BKN,"GEORGE, PAUL",31,13,4,1,3,7,5,2,2,5,13,0.3846153846,3,6,0.5,0,0,NA,5,BKN,0,31,NA,117,99,31.60821918,W,REG,21-22
ATL,2021-12-10,BKN,"ANTHONY, CARMELO",30,13,1,0,1,1,1,0,1,4,7,0.5714285714,3,5,0.6,2,2,1,4,BKN,0,16,NA,117,99,37.53424658,W,REG,21-22
ATL,2021-12-10,BKN,"CALDWELL-POPE, KENTAVIOUS",10,12,2,0,2,0,1,0,1,4,7,0.5714285714,4,6,0.6666666667,0,0,NA,0,BKN,0,15,NA,117,99,28.80821918,W,REG,21-22
ATL,2021-12-10,BKN,"GRANT, JERAMI",24,10,5,1,4,1,3,1,3,4,8,0.5,1,2,0.5,1,1,1,0,BKN,0,20,NA,117,99,27.74794521,W,REG,21-22
ATL,2021-12-10,BKN,"DAVIS, ANTHONY",32,9,15,4,11,3,1,0,1,3,8,0.375,1,2,0.5,2,2,1,5,BKN,0,28,NA,117,99,28.75068493,W,REG,21-22
ATL,2021-12-10,BKN,"HARDAWAY, TIM",20,4,1,0,1,1,0,0,2,1,4,0.25,0,1,0,2,4,0.5,1,BKN,0,6,NA,117,99,23.83561644,W,REG,21-22
ATL,2021-12-10,BKN,"SMITH, ISH",10,4,1,0,1,2,0,0,0,2,5,0.4,0,0,NA,0,0,NA,1,BKN,0,7,NA,117,99,33.43287671,W,REG,21-22
ATL,2021-12-10,BKN,"ZELLER, CODY",12,2,2,1,1,1,0,0,1,1,3,0.3333333333,0,0,NA,0,0,NA,1,BKN,0,5,NA,117,99,29.18082192,W,REG,21-22
ATL,2021-12-10,BKN,"FORBES, BRYN",7,0,0,0,0,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,3,BKN,0,2,NA,117,99,28.38356164,W,REG,21-22
ATL,2021-12-13,HOU,"GRANT, JERAMI",23,24,3,1,2,0,0,0,0,8,11,0.7272727273,3,5,0.6,5,6,0.8333333333,1,HOU,0,27,NA,132,115,27.75616438,W,REG,21-22
ATL,2021-12-13,HOU,"YOUNG, TRAE",35,21,1,0,1,7,1,0,2,5,11,0.4545454545,2,5,0.4,9,10,0.9,2,HOU,0,30,NA,132,115,23.23287671,W,REG,21-22
ATL,2021-12-13,HOU,"DAVIS, ANTHONY",33,21,5,0,5,3,2,3,6,9,12,0.75,0,1,0,3,3,1,3,HOU,0,34,NA,132,115,28.75890411,W,REG,21-22
ATL,2021-12-13,HOU,"POWELL, NORMAN",30,17,6,0,6,0,2,0,3,7,11,0.6363636364,3,3,1,0,1,0,2,HOU,0,25,NA,132,115,28.55342466,W,REG,21-22
ATL,2021-12-13,HOU,"GEORGE, PAUL",31,15,8,1,7,7,2,0,4,5,11,0.4545454545,3,5,0.6,2,2,1,2,HOU,0,32,NA,132,115,31.61643836,W,REG,21-22
ATL,2021-12-13,HOU,"ANTHONY, CARMELO",30,11,10,0,10,3,1,2,1,5,10,0.5,1,4,0.25,0,0,NA,2,HOU,0,27,NA,132,115,37.54246575,W,REG,21-22
ATL,2021-12-13,HOU,"HARDAWAY, TIM",19,8,4,0,4,1,0,0,0,2,5,0.4,2,4,0.5,2,2,1,3,HOU,0,13,NA,132,115,23.84383562,W,REG,21-22
ATL,2021-12-13,HOU,"SMITH, ISH",10,6,3,1,2,5,0,0,0,3,5,0.6,0,0,NA,0,0,NA,2,HOU,0,14,NA,132,115,33.44109589,W,REG,21-22
ATL,2021-12-13,HOU,"ZELLER, CODY",12,4,2,0,2,3,0,0,1,2,2,1,0,0,NA,0,4,0,0,HOU,0,9,NA,132,115,29.1890411,W,REG,21-22
