TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
BKN,2021-06-07,BOS,"DINWIDDIE, SPENCER",22,17,4,0,4,8,2,0,1,7,16,0.4375,1,5,0.2,2,2,1,0,BOS,0,31,NA,135,101,28.16986301,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"HARRIS, JOE",31,16,4,0,4,3,0,1,2,6,12,0.5,4,9,0.4444444444,0,0,NA,1,BOS,0,24,NA,135,101,29.75068493,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"ALDRIDGE, LAMARCUS",16,8,1,0,1,0,0,0,0,4,5,0.8,0,1,0,0,0,NA,1,BOS,0,9,NA,135,101,35.88493151,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"COVINGTON, ROBERT",21,7,3,1,2,3,0,0,0,3,7,0.4285714286,1,2,0.5,0,0,NA,0,BOS,0,13,NA,135,101,30.47945205,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"CARUSO, ALEX",21,6,3,1,2,7,0,0,1,3,7,0.4285714286,0,1,0,0,0,NA,0,BOS,0,16,NA,135,101,27.27123288,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"CAULEY-STEIN, WILLIE",20,4,8,1,7,0,1,3,0,2,5,0.4,0,0,NA,0,0,NA,1,BOS,0,16,NA,135,101,27.80273973,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"OKAFOR, JAHLIL",10,4,0,0,0,0,0,0,0,2,2,1,0,0,NA,0,0,NA,2,BOS,0,4,NA,135,101,25.47671233,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"CLAXTON, NICOLAS",7,4,1,0,1,0,0,0,0,2,2,1,0,0,NA,0,0,NA,1,BOS,0,5,NA,135,101,22.13972603,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"GIBSON, TAJ",16,0,5,1,4,1,0,1,0,0,1,0,0,0,NA,0,0,NA,1,BOS,0,7,NA,135,101,35.95342466,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"HOUSE, DANUEL",12,0,1,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,BOS,0,2,NA,135,101,28,W,PLAYOFF,2,1,20-21
BKN,2021-06-07,BOS,"STEVENS, LAMAR",5,0,1,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,NA,0,BOS,0,1,NA,135,101,23.91232877,W,PLAYOFF,2,1,20-21
BKN,2021-06-11,@BOS,"JAMES, LEBRON",30,37,6,2,4,4,0,2,1,16,25,0.64,1,3,0.3333333333,4,4,1,5,BOS,0,49,NA,124,115,36.44657534,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"DURANT, KEVIN",34,24,4,0,4,2,2,1,3,10,16,0.625,0,2,0,4,4,1,1,BOS,0,33,NA,124,115,32.70136986,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"DINWIDDIE, SPENCER",27,18,5,0,5,8,0,1,0,9,18,0.5,0,3,0,0,0,NA,2,BOS,0,32,NA,124,115,28.18082192,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"CAULEY-STEIN, WILLIE",31,14,9,1,8,0,1,4,0,7,10,0.7,0,1,0,0,0,NA,0,BOS,0,28,NA,124,115,27.81369863,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"HARRIS, JOE",29,11,4,1,3,5,0,0,0,4,12,0.3333333333,1,3,0.3333333333,2,2,1,0,BOS,0,20,NA,124,115,29.76164384,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"ALDRIDGE, LAMARCUS",25,9,7,1,6,2,0,3,0,2,3,0.6666666667,0,1,0,5,5,1,1,BOS,0,21,NA,124,115,35.89589041,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"CARUSO, ALEX",22,7,6,0,6,4,1,0,0,3,7,0.4285714286,0,0,NA,1,1,1,0,BOS,0,18,NA,124,115,27.28219178,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"COVINGTON, ROBERT",29,2,7,0,7,1,1,1,0,1,5,0.2,0,2,0,0,0,NA,1,BOS,0,12,NA,124,115,30.49041096,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"STEVENS, LAMAR",1,2,0,0,0,0,0,0,0,0,0,NA,0,0,NA,2,2,1,0,BOS,0,2,NA,124,115,23.92328767,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"GIBSON, TAJ",9,0,2,0,2,0,1,3,0,0,0,NA,0,0,NA,0,0,NA,0,BOS,0,6,NA,124,115,35.96438356,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"OKAFOR, JAHLIL",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,BOS,0,0,NA,124,115,25.48767123,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"HOUSE, DANUEL",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,BOS,0,0,NA,124,115,28.0109589,W,PLAYOFF,3,1,20-21
BKN,2021-06-11,@BOS,"CLAXTON, NICOLAS",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,BOS,0,0,NA,124,115,22.15068493,W,PLAYOFF,3,1,20-21
BKN,2021-06-15,@BOS,"JAMES, LEBRON",30,31,7,2,5,8,2,1,1,15,17,0.8823529412,0,1,0,1,1,1,1,BOS,0,49,NA,131,112,36.45753425,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"DURANT, KEVIN",29,29,9,0,9,5,0,0,4,11,14,0.7857142857,2,4,0.5,5,5,1,1,BOS,0,43,NA,131,112,32.71232877,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"COVINGTON, ROBERT",25,14,3,0,3,3,2,2,0,5,9,0.5555555556,2,2,1,2,2,1,2,BOS,0,24,NA,131,112,30.50136986,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"CARUSO, ALEX",25,14,1,0,1,3,0,0,1,4,11,0.3636363636,2,3,0.6666666667,4,4,1,0,BOS,0,18,NA,131,112,27.29315068,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"DINWIDDIE, SPENCER",22,13,7,1,6,6,0,1,0,5,12,0.4166666667,0,2,0,3,4,0.75,2,BOS,0,27,NA,131,112,28.19178082,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"HARRIS, JOE",31,10,3,1,2,4,0,0,2,2,6,0.3333333333,1,2,0.5,5,6,0.8333333333,0,BOS,0,17,NA,131,112,29.77260274,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"GIBSON, TAJ",20,10,4,0,4,1,0,0,0,4,6,0.6666666667,0,1,0,2,3,0.6666666667,1,BOS,0,15,NA,131,112,35.97534247,W,PLAYOFF,4,1,20-21
