TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype
ATL,12/22/2021,ORL,"GEORGE, PAUL",28,23,10,1,9,6,4,1,2,9,13,0.6923076923,3,6,0.5,2,2,1,4,ORL,0,44,,142,92,31.64109589,W,REG
ATL,12/22/2021,ORL,"YOUNG, TRAE",34,19,7,0,7,9,0,0,1,6,23,0.2608695652,5,10,0.5,2,2,1,5,ORL,0,35,,142,92,23.25753425,W,REG
ATL,12/22/2021,ORL,"ANTHONY, CARMELO",30,19,8,1,7,0,1,1,0,7,15,0.4666666667,4,10,0.4,1,1,1,2,ORL,0,29,,142,92,37.56712329,W,REG
ATL,12/22/2021,ORL,"GRANT, JERAMI",23,18,7,2,5,0,1,0,0,7,12,0.5833333333,2,2,1,2,2,1,1,ORL,0,26,,142,92,27.78082192,W,REG
ATL,12/22/2021,ORL,"POWELL, NORMAN",31,17,2,1,1,2,0,1,0,7,9,0.7777777778,0,1,0,3,3,1,2,ORL,0,22,,142,92,28.57808219,W,REG
ATL,12/22/2021,ORL,"DAVIS, ANTHONY",31,14,13,4,9,5,0,1,2,5,12,0.4166666667,1,6,0.1666666667,3,3,1,3,ORL,0,33,,142,92,28.78356164,W,REG
ATL,12/22/2021,ORL,"HARDAWAY, TIM",23,11,1,0,1,1,0,0,0,3,6,0.5,1,4,0.25,4,4,1,2,ORL,0,13,,142,92,23.86849315,W,REG
ATL,12/22/2021,ORL,"FORBES, BRYN",7,9,0,0,0,1,0,0,0,2,3,0.6666666667,1,2,0.5,4,4,1,0,ORL,0,10,,142,92,28.41643836,W,REG
ATL,12/22/2021,ORL,"CALDWELL-POPE, KENTAVIOUS",10,6,1,0,1,0,0,0,0,2,3,0.6666666667,2,2,1,0,0,,0,ORL,0,7,,142,92,28.84109589,W,REG
ATL,12/22/2021,ORL,"ZELLER, CODY",13,4,4,0,4,1,0,1,1,1,2,0.5,0,0,,2,4,0.5,2,ORL,0,10,,142,92,29.21369863,W,REG
ATL,12/22/2021,ORL,"SMITH, ISH",10,2,0,0,0,3,0,0,0,1,2,0.5,0,0,,0,0,,1,ORL,0,5,,142,92,33.46575342,W,REG
ATL,12/23/2021,@PHI,"YOUNG, TRAE",35,19,5,0,5,6,0,0,2,6,16,0.375,0,1,0,7,9,0.7777777778,4,PHI,0,30,,103,108,23.26027397,L,REG
ATL,12/23/2021,@PHI,"DAVIS, ANTHONY",31,18,10,3,7,5,1,2,2,9,11,0.8181818182,0,2,0,0,0,,4,PHI,0,36,,103,108,28.78630137,L,REG
ATL,12/23/2021,@PHI,"GEORGE, PAUL",32,17,5,0,5,2,3,0,3,7,9,0.7777777778,3,4,0.75,0,0,,2,PHI,0,27,,103,108,31.64383562,L,REG
ATL,12/23/2021,@PHI,"ANTHONY, CARMELO",31,15,2,0,2,0,3,1,1,5,11,0.4545454545,1,5,0.2,4,4,1,2,PHI,0,21,,103,108,37.56986301,L,REG
ATL,12/23/2021,@PHI,"HARDAWAY, TIM",20,10,3,0,3,0,1,0,1,3,3,1,3,3,1,1,2,0.5,5,PHI,0,14,,103,108,23.87123288,L,REG
ATL,12/23/2021,@PHI,"GRANT, JERAMI",23,9,3,0,3,2,0,1,1,3,10,0.3,1,5,0.2,2,2,1,5,PHI,0,15,,103,108,27.78356164,L,REG
ATL,12/23/2021,@PHI,"POWELL, NORMAN",30,4,4,0,4,3,1,0,2,2,8,0.25,0,4,0,0,0,,0,PHI,0,12,,103,108,28.58082192,L,REG
ATL,12/23/2021,@PHI,"ZELLER, CODY",12,4,1,0,1,3,2,1,2,2,5,0.4,0,0,,0,0,,1,PHI,0,11,,103,108,29.21643836,L,REG
ATL,12/23/2021,@PHI,"SMITH, ISH",10,4,0,0,0,2,0,0,0,2,2,1,0,0,,0,0,,0,PHI,0,6,,103,108,33.46849315,L,REG
ATL,12/23/2021,@PHI,"CALDWELL-POPE, KENTAVIOUS",10,3,1,0,1,0,2,0,1,1,4,0.25,1,3,0.3333333333,0,0,,0,PHI,0,6,,103,108,28.84383562,L,REG
ATL,12/23/2021,@PHI,"FORBES, BRYN",6,0,1,0,1,1,0,0,1,0,0,,0,0,,0,0,,0,PHI,0,2,,103,108,28.41917808,L,REG
ATL,12/25/2021,@NYK,"GEORGE, PAUL",33,20,7,1,6,5,1,0,3,7,10,0.7,3,4,0.75,3,3,1,0,NYK,0,33,,107,106,31.64931507,W,REG
ATL,12/25/2021,@NYK,"GRANT, JERAMI",22,18,7,3,4,1,0,3,1,7,13,0.5384615385,1,2,0.5,3,4,0.75,2,NYK,0,29,,107,106,27.7890411,W,REG
ATL,12/25/2021,@NYK,"YOUNG, TRAE",36,16,8,0,8,9,2,0,1,4,9,0.4444444444,3,6,0.5,5,5,1,5,NYK,0,35,,107,106,23.26575342,W,REG
ATL,12/25/2021,@NYK,"ANTHONY, CARMELO",24,13,1,0,1,0,2,1,1,6,12,0.5,1,4,0.25,0,0,,6,NYK,0,17,,107,106,37.57534247,W,REG
ATL,12/25/2021,@NYK,"DAVIS, ANTHONY",34,11,9,3,6,3,1,2,3,5,10,0.5,0,1,0,1,2,0.5,2,NYK,0,26,,107,106,28.79178082,W,REG
ATL,12/25/2021,@NYK,"HARDAWAY, TIM",22,10,0,0,0,1,0,0,1,3,9,0.3333333333,0,4,0,4,4,1,3,NYK,0,11,,107,106,23.87671233,W,REG
ATL,12/25/2021,@NYK,"POWELL, NORMAN",29,7,5,1,4,1,0,0,1,3,11,0.2727272727,1,4,0.25,0,0,,5,NYK,0,13,,107,106,28.58630137,W,REG
ATL,12/25/2021,@NYK,"CALDWELL-POPE, KENTAVIOUS",11,7,2,0,2,0,0,0,0,3,6,0.5,1,4,0.25,0,0,,1,NYK,0,9,,107,106,28.84931507,W,REG
ATL,12/25/2021,@NYK,"ZELLER, CODY",12,3,5,3,2,1,0,0,2,1,1,1,0,0,,1,2,0.5,1,NYK,0,9,,107,106,29.22191781,W,REG
