TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL
MIA,1/26/2021,LAL,"ADEBAYO, BAM",36,34,18,2,16,1,0,0,1,14,16,0.875,0,0,,6,6,1,2,LAL,0,53,,123,88,23.5260274,W
MIA,3/2/2021,@OKC,"ADEBAYO, BAM",36,14,18,2,16,6,0,3,3,5,6,0.8333333333,0,0,,4,4,1,3,OKC,0,41,,94,110,23.62191781,L
MIA,3/17/2021,@ORL,"ADEBAYO, BAM",37,16,18,3,15,9,0,4,5,6,12,0.5,0,2,0,4,4,1,3,ORL,0,47,,106,105,23.6630137,W
MIL,1/15/2021,NYK,"ANTETOKOUNMPO, GIANNIS",34,25,18,5,13,7,1,3,2,8,17,0.4705882353,0,3,0,9,11,0.8181818182,2,NYK,0,54,,122,98,26.10958904,W
MIL,2/9/2021,@ATL,"LOVE, KEVIN",27,8,18,8,10,1,1,1,0,3,15,0.2,1,10,0.1,1,1,1,2,ATL,0,29,,131,99,32.42465753,W
MIL,3/13/2021,WAS,"HOWARD, DWIGHT",25,6,18,7,11,3,0,0,0,3,4,0.75,0,0,,0,0,,3,WAS,0,27,,133,116,35.26027397,W
NOP,1/24/2021,@MIL,"WILLIAMSON, ZION",37,26,18,5,13,0,1,0,2,12,20,0.6,0,0,,2,4,0.5,1,MIL,0,45,,100,105,20.55342466,L
NOP,5/8/2021,MEM,"KANTER, ENES",33,19,18,8,10,1,1,0,2,9,13,0.6923076923,0,0,,1,2,0.5,2,MEM,0,39,,133,101,28.96712329,W
NOP,5/27/2021,WAS,"ROBY, ISAIAH",39,11,18,7,11,1,0,3,1,5,8,0.625,0,2,0,1,5,0.2,5,WAS,0,33,,107,133,23.30958904,L
PHX,5/2/2021,MIN,"AYTON, DEANDRE",31,18,18,4,14,1,0,0,3,8,13,0.6153846154,0,0,,2,3,0.6666666667,2,MIN,0,37,,112,93,22.77534247,W
PHX,5/14/2021,@CLE,"AYTON, DEANDRE",35,23,18,4,14,1,1,1,3,10,15,0.6666666667,0,0,,3,4,0.75,3,CLE,0,44,,110,114,22.80821918,L
POR,12/10/2020,@DAL,"WHITESIDE, HASSAN",34,18,18,5,13,0,0,3,1,5,11,0.4545454545,0,0,,8,8,1,3,DAL,0,39,,127,122,31.49315068,W
POR,12/11/2020,@SAS,"WHITESIDE, HASSAN",28,16,18,5,13,1,0,3,2,8,15,0.5333333333,0,0,,0,0,,3,SAS,0,38,,102,130,31.49589041,L
POR,12/27/2020,TOR,"NURKIC, JUSUF",29,14,18,6,12,4,2,2,2,4,9,0.4444444444,0,0,,6,8,0.75,4,TOR,0,40,,105,72,26.34520548,W
POR,1/10/2021,OKC,"NURKIC, JUSUF",32,11,18,7,11,3,1,1,2,5,8,0.625,0,0,,1,4,0.25,5,OKC,0,34,,126,91,26.38356164,W
POR,2/10/2021,LAL,"WHITESIDE, HASSAN",29,11,18,4,14,0,0,0,4,5,11,0.4545454545,0,0,,1,2,0.5,2,LAL,0,29,,114,115,31.6630137,L
SAC,2/15/2021,MEM,"CAPELA, CLINT",36,14,18,6,12,0,1,0,0,7,11,0.6363636364,0,0,,0,2,0,3,MEM,0,33,,117,83,26.74794521,W
SAC,2/26/2021,ORL,"CAPELA, CLINT",35,13,18,6,12,1,1,0,0,6,12,0.5,0,0,,1,2,0.5,3,ORL,0,33,,115,109,26.77808219,W
